T20I Match No,Match ID,Match Name,Series ID,Series Name,Match Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Team1 Runs Scored,Team1 Wickets Fell,Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Team2 Runs Scored,Team2 Wickets Fell,Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
1,211048,New Zealand Vs Australia Only T20I,238218,Australia tour of New Zealand  - 2005 (2004/05),,T20,2,Australia,RT Ponting,214,5,12,5,New Zealand,SP Fleming,170,10,2,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,CH Lloyd,Australia,bat,Australia,Australia won by 44 runs,RT Ponting,"['AC Gilchrist', 'MJ Clarke', 'A Symonds', 'RT Ponting', 'DR Martyn', 'SM Katich', 'MEK Hussey', 'JR Hopes', 'B Lee', 'MS Kasprowicz', 'GD McGrath']","['BB McCullum', 'SP Fleming', 'MS Sinclair', 'SB Styris', 'CD McMillan', 'CL Cairns', 'HJH Marshall', 'AR Adams', 'JW Wilson', 'KD Mills', 'DR Tuffey']","['AC Gilchrist', 'AC Gilchrist', 'AR Adams', 'A Symonds', 'BB McCullum', 'BB McCullum', 'B Lee', 'B Lee', 'CL Cairns', 'CL Cairns', 'CD McMillan', 'CD McMillan', 'DR Martyn', 'DR Martyn', 'DR Tuffey', 'DR Tuffey', 'GD McGrath', 'GD McGrath', 'HJH Marshall', 'HJH Marshall', 'JR Hopes', 'JW Wilson', 'JW Wilson', 'KD Mills', 'KD Mills', 'MS Sinclair', 'MS Sinclair', 'MJ Clarke', 'MEK Hussey', 'MS Kasprowicz', 'RT Ponting', 'SB Styris', 'SB Styris', 'SM Katich', 'SP Fleming']"
2,211028,England Vs Australia Only T20I,238219,Australia tour of England and Scotland  - 2005 (2005),,T20,1,England,MP Vaughan,179,8,6,2,Australia,RT Ponting,79,10,6,The Rose Bowl,Southampton,England,JW Lloyds,NJ Llong,JJ Crowe,England,bat,England,England won by 100 runs,KP Pietersen,"['ME Trescothick', 'GO Jones', 'A Flintoff', 'KP Pietersen', 'MP Vaughan', 'PD Collingwood', 'AJ Strauss', 'VS Solanki', 'J Lewis', 'D Gough', 'SJ Harmison']","['AC Gilchrist', 'ML Hayden', 'A Symonds', 'MJ Clarke', 'MEK Hussey', 'RT Ponting', 'DR Martyn', 'B Lee', 'JN Gillespie', 'MS Kasprowicz', 'GD McGrath']","['A Flintoff', 'AJ Strauss', 'D Gough', 'GO Jones', 'JN Gillespie', 'JN Gillespie', 'J Lewis', 'KP Pietersen', 'ME Trescothick', 'ML Hayden', 'ML Hayden', 'MP Vaughan', 'MP Vaughan', 'PD Collingwood', 'PD Collingwood', 'SJ Harmison', 'VS Solanki']"
3,222678,South Africa Vs New Zealand Only T20I,238166,New Zealand tour of South Africa  - 2005 (2005/06),,T20,3,South Africa,GC Smith,133,10,8,5,New Zealand,SP Fleming,134,5,11,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,IL Howell,BC Broad,New Zealand,bowl,New Zealand,New Zealand won by 5 wickets (with 12 balls remaining),JS Patel,"['N Boje', 'GC Smith', 'JH Kallis', 'HH Gibbs', 'JM Kemp', 'MV Boucher', 'SM Pollock', 'AG Prince', 'JA Morkel', 'CK Langeveldt', 'M Ntini']","['JS Patel', 'SP Fleming', 'NJ Astle', 'HJH Marshall', 'CD McMillan', 'SB Styris', 'JDP Oram', 'BB McCullum', 'KD Mills', 'AR Adams', 'SE Bond']","['JA Morkel', 'A Nel', 'AG Prince', 'CK Langeveldt', 'GC Smith', 'HH Gibbs', 'JDP Oram', 'JDP Oram', 'JH Kallis', 'JAH Marshall', 'JAH Marshall', 'JS Patel', 'JS Patel', 'JM Kemp', 'M Ntini', 'MV Boucher', 'NJ Astle', 'N Boje', 'SE Bond', 'SE Bond', 'SM Pollock']"
4,226374,Australia Vs South Africa Only T20I,226335,South Africa tour of Australia  - 2005 (2005/06),,T20,2,Australia,RT Ponting,209,3,15,3,South Africa,GC Smith,114,10,1,Brisbane Cricket Ground,Brisbane,Australia,RL Parry,BNJ Oxenford,RG Archer,Australia,bat,Australia,Australia won by 95 runs,DR Martyn,"['JR Hopes', 'DR Martyn', 'RT Ponting', 'A Symonds', 'MJ Clarke', 'MEK Hussey', 'BJ Haddin', 'SM Katich', 'NW Bracken', 'SR Clark', 'ML Lewis']","['GC Smith', 'HH Dippenaar', 'HH Gibbs', 'MV Boucher', 'SM Pollock', 'JH Kallis', 'JA Rudolph', 'AJ Hall', 'J Botha', 'GJP Kruger', 'M Zondeki']","['AJ Hall', 'HH Dippenaar', 'BJ Haddin', 'GJP Kruger', 'JA Rudolph', 'J Botha', 'ML Lewis', 'M Zondeki', 'NW Bracken', 'SR Clark', 'SR Clark']"
5,237242,New Zealand Vs West Indies Only T20I,237244,West Indies tour of New Zealand  - 2006 (2005/06),,T20,4,West Indies,S Chanderpaul,126,7,10,5,New Zealand,SP Fleming,126,8,10,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,MJ Procter,New Zealand,bowl,,Match tied,DR Smith,"['CH Gayle', 'D Ganga', 'RS Morton', 'DR Smith', 'WW Hinds', 'S Chanderpaul', 'DJ Bravo', 'D Ramdin', 'IDR Bradshaw', 'DK Butler', 'JE Taylor']","['L Vincent', 'SP Fleming', 'NJ Astle', 'SB Styris', 'CL Cairns', 'PG Fulton', 'HJH Marshall', 'BB McCullum', 'JEC Franklin', 'SE Bond', 'JS Patel']","['CH Gayle', 'D Ganga', 'D Ganga', 'DK Butler', 'DK Butler', 'D Ramdin', 'D Ramdin', 'DJ Bravo', 'DJ Bravo', 'DR Smith', 'DR Smith', 'IDR Bradshaw', 'IDR Bradshaw', 'JEC Franklin', 'JE Taylor', 'JE Taylor', 'L Vincent', 'PG Fulton', 'RS Morton', 'RS Morton', 'S Chanderpaul', 'S Chanderpaul', 'WW Hinds', 'WW Hinds']"
6,238195,South Africa Vs Australia Only T20I,238137,Australia tour of South Africa  - 2006 (2005/06),,T20,3,South Africa,GC Smith,201,4,17,2,Australia,RT Ponting,199,7,8,New Wanderers Stadium,Johannesburg,South Africa,KH Hurter,M Erasmus,BC Broad,South Africa,bat,South Africa,South Africa won by 2 runs,GC Smith,"['GC Smith', 'LE Bosman', 'HH Gibbs', 'SM Pollock', 'JJ van der Wath', 'AB de Villiers', 'ND McKenzie', 'AJ Hall', 'RJ Peterson', 'R Telemachus', 'M Ntini']","['AC Gilchrist', 'SM Katich', 'RT Ponting', 'DR Martyn', 'MJ Clarke', 'SR Watson', 'GB Hogg', 'B Lee', 'NW Bracken', 'ML Lewis', 'SR Clark']","['AB de Villiers', 'GB Hogg', 'JJ van der Wath', 'LE Bosman', 'ND McKenzie', 'RJ Peterson', 'R Telemachus', 'SR Watson']"
7,225271,England Vs Sri Lanka Only T20I,224906,Sri Lanka tour of England  - 2006 (2006),15/06/06,T20,8,Sri Lanka,DPMD Jayawardene,163,10,12,1,England,AJ Strauss,161,5,13,The Rose Bowl,Southampton,England,IJ Gould,NJ Llong,CH Lloyd,Sri Lanka,bat,Sri Lanka,Sri Lanka won by 2 runs,ST Jayasuriya,"['ST Jayasuriya', 'WU Tharanga', 'DPMD Jayawardene', 'TM Dilshan', 'KC Sangakkara', 'RP Arnold', 'CK Kapugedera', 'MF Maharoof', 'SL Malinga', 'CRD Fernando', 'PDRL Perera']","['ME Trescothick', 'AJ Strauss', 'KP Pietersen', 'PD Collingwood', 'JWM Dalrymple', 'GO Jones', 'TT Bresnan', 'EC Joyce', 'LE Plunkett', 'SI Mahmood', 'SJ Harmison']","['CK Kapugedera', 'CRD Fernando', 'EC Joyce', 'MF Maharoof', 'JWM Dalrymple', 'KC Sangakkara', 'SL Malinga', 'LE Plunkett', 'DPMD Jayawardene', 'PDRL Perera', 'PDRL Perera', 'RP Arnold', 'SI Mahmood', 'ST Jayasuriya', 'TM Dilshan', 'TT Bresnan', 'WU Tharanga', 'WU Tharanga']"
71,361655,Canada Vs Zimbabwe 3Rd Match,361644,T20 Canada in Canada - 2008 (2008/09),11/10/08,T20,17,Canada,S Dhaniram,135,7,15,9,Zimbabwe,P Utseya,135,9,11,Maple Leaf North-West Ground,King City,Canada,K Bayney,MR Benson,JJ Crowe,Zimbabwe,bowl,,Match tied,T Taibu,"['AA Mulla', 'Rizwan Cheema', 'Mohammad Iqbal', 'AM Samad', 'RR David', 'S Dhaniram', 'K Jethi', 'WD Balaji Rao', 'U Bhatti', 'HS Baidwan', 'H Osinde']","['H Masakadza', 'C Zhuwao', 'CJ Chibhabha', 'T Taibu', 'S Matsikenyeri', 'KM Dabengwa', 'E Chigumbura', 'T Maruma', 'T Mupariwa', 'P Utseya', 'RW Price']",['C Zhuwao']
8,225263,England Vs Pakistan Only T20I,224904,Pakistan tour of England and Scotland  - 2006 (2006),28/08/06,T20,1,England,AJ Strauss,144,7,11,7,Pakistan,Inzamam-ul-Haq,148,5,10,County Ground,Bristol,England,NJ Llong,PJ Hartley,MJ Procter,England,bat,Pakistan,Pakistan won by 5 wickets (with 13 balls remaining),Shahid Afridi,"['ME Trescothick', 'IR Bell', 'KP Pietersen', 'AJ Strauss', 'PD Collingwood', 'JWM Dalrymple', 'MH Yardy', 'CMW Read', 'SI Mahmood', 'D Gough', 'SCJ Broad']","['Shoaib Malik', 'Mohammad Hafeez', 'Younis Khan', 'Shahid Afridi', 'Mohammad Yousuf', 'Inzamam-ul-Haq', 'Abdul Razzaq', 'Kamran Akmal', 'Naved-ul-Hasan', 'Shoaib Akhtar', 'Mohammad Asif']","['Abdul Razzaq', 'CMW Read', 'IR Bell', 'Inzamam-ul-Haq', 'Kamran Akmal', 'MH Yardy', 'Mohammad Asif', 'Mohammad Hafeez', 'Mohammad Yousuf', 'Naved-ul-Hasan', 'Shahid Afridi', 'Shoaib Akhtar', 'Shoaib Malik', 'SCJ Broad', 'Younis Khan']"
9,264065,Bangladesh Vs Zimbabwe Only T20I,264062,Zimbabwe tour of Bangladesh  - 2006 (2006/07),28/11/06,T20,25,Bangladesh,Shahriar Nafees,166,10,12,9,Zimbabwe,P Utseya,123,9,5,Khulna Divisional Stadium,Khulna,Bangladesh,Enamul Haque,Nadir Shah,RS Madugalle,Zimbabwe,bowl,Bangladesh,Bangladesh won by 43 runs,Mashrafe Mortaza,"['Nazmus Sadat', 'Shahriar Nafees', 'Aftab Ahmed', 'Shakib Al Hasan', 'Nadif Chowdhury', 'Farhad Reza', 'Mushfiqur Rahim', 'Mashrafe Mortaza', 'Mohammad Rafique', 'Abdur Razzak', 'Shahadat Hossain']","['BRM Taylor', 'S Matsikenyeri', 'E Chigumbura', 'H Masakadza', 'SC Williams', 'KM Dabengwa', 'ML Nkala', 'GB Brent', 'P Utseya', 'CJ Chibhabha', 'AJ Ireland']","['Abdur Razzak', 'Abdur Razzak', 'Aftab Ahmed', 'Aftab Ahmed', 'AJ Ireland', 'BRM Taylor', 'CJ Chibhabha', 'E Chigumbura', 'Farhad Reza', 'Farhad Reza', 'GB Brent', 'GB Brent', 'H Masakadza', 'KM Dabengwa', 'KM Dabengwa', 'Mashrafe Mortaza', 'Mashrafe Mortaza', 'ML Nkala', 'ML Nkala', 'Mohammad Rafique', 'Mohammad Rafique', 'Mushfiqur Rahim', 'Mushfiqur Rahim', 'Nadif Chowdhury', 'Nadif Chowdhury', 'Nazmus Sadat', 'Nazmus Sadat', 'P Utseya', 'P Utseya', 'SC Williams', 'SC Williams', 'Shahadat Hossain', 'Shahadat Hossain', 'Shahriar Nafees', 'Shahriar Nafees', 'Shakib Al Hasan', 'Shakib Al Hasan', 'S Matsikenyeri']"
10,255954,South Africa Vs India Only T20I,255953,India tour of South Africa  - 2006 (2006/07),01/12/06,T20,3,South Africa,GC Smith,126,9,13,6,India,V Sehwag,127,4,11,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,IL Howell,BC Broad,South Africa,bat,India,India won by 6 wickets (with 1 ball remaining),KD Karthik,"['GC Smith', 'LE Bosman', 'HH Gibbs', 'JM Kemp', 'AB de Villiers', 'JA Morkel', 'JJ van der Wath', 'RJ Peterson', 'T Henderson', 'R Telemachus', 'CK Langeveldt']","['V Sehwag', 'SR Tendulkar', 'D Mongia', 'MS Dhoni', 'KD Karthik', 'SK Raina', 'IK Pathan', 'Harbhajan Singh', 'Z Khan', 'AB Agarkar', 'S Sreesanth']","['AB Agarkar', 'AB Agarkar', 'KD Karthik', 'KD Karthik', 'D Mongia', 'Harbhajan Singh', 'IK Pathan', 'MS Dhoni', 'MS Dhoni', 'SR Tendulkar', 'SR Tendulkar', 'S Sreesanth', 'S Sreesanth', 'SK Raina', 'SK Raina', 'T Henderson', 'V Sehwag', 'Z Khan']"
